NBI #,Route,Place,County,FeatureIntersected,FacilityCarried,Location,Built,Reconstructed,Length,Suffrating,MaterialDesign,DesignConstruction,Status,FunctionalClass,View
2558,124,Centralia ,Boone,'BR OF SILVER FK,'MO 124 E,'S 20 T 51 N R 11 W,1973,2000,0.6,9.15,Concrete continuous,Culvert (includes frame culverts),,"Minor Arterial, Rural",298951
2559,124,Centralia ,Boone,'SILVER FK CR,'MO 124 E,'S 29 T 51 N R 11 W,1973,2000,4.1,7.44,Prestressed concrete*,Box Beam or Girders - Multiple,,"Minor Arterial, Rural",298952
2681,63,Columbia ,Boone,'GANS CR,'US 63 S,'S 33 T 48 N R 12 W,1973,2000,4,9.43,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Principal Arterial - Other Freeways, Urban",299100
2682,63,Cedar ,Boone,'BONNE FEMME CR,'US 63 S,'S 3 T 47 N R 12 W,1973,2000,4.5,8.12,Prestressed concrete*,Box Beam or Girders - Multiple,,"Principal Arterial - Other, Rural",299101
28133,,Columbia,Boone,'FLAT CR,'PARK ACCESS RD,'S 22 T 48 N R 13 W,1950,2000,2.1,8.58,Steel,Arch - Deck,,"Local, Urban",299252
28329,420,Cedar ,Boone,'BR BONNE FEMME CR,'FOX HOLLOW RD,'S 12 T 46 N R 13 W,1998,2000,1,9.69,Concrete,Box Beam or Girders - Single or Spread,,"Local, Rural",299447
28608,131,Columbia ,Boone,'BEAR CR,'OAKLAND GRAVEL RD,'S 30 T 49 N R 12 W,2001,2000,0.8,7.11,Steel,Culvert (includes frame culverts),,"Local, Rural",299730
28682,236,Centralia ,Boone,'LITTLE CR,'LIT CREEK RD,'S 37 T 51 N R 11 W,2000,2000,1.2,10,Concrete,Culvert (includes frame culverts),,"Local, Rural",299809
28718,317,Columbia ,Boone,'LIT CEDAR CR,'ST CHARLES RD,'S 32 T 49 N R 11 W,2000,2000,1.1,8.89,Steel,Culvert (includes frame culverts),,"Local, Rural",299849
28757,471,Missouri ,Boone,'TRIB TO PERCHE CR,'COATS LANE,'S 30 T 48 N R 13 W,1970,2001,1.3,10,Concrete,Channel Beam,,"Local, Rural",299890
28758,471,Missouri ,Boone,'TRIB TO PERCHE CR,'COATS LANE,'S 30 T 48 N R 13 W,2001,2000,3.7,10,Prestressed concrete*,Tee Beam,,"Local, Rural",299891
28793,131,Columbia ,Boone,'BEAR CR,'OAKLAND GRAVEL RD,'S 30 T 49 N R 12 W,1982,1999,1.6,9.15,Prestressed concrete*,Tee Beam,,"Local, Rural",299926
28827,279,Columbia ,Boone,'HINKSON CR,'O'REAR RD,'S 11 T 49 N R 12 W,1970,2000,2.4,5.36,Steel,Stringer/Multi-beam or Girder,,"Local, Rural",299963
2885,WW,Cedar ,Boone,'HOMINY CR,'RT WW E,'S 17 T 48 N R 12 W,1976,2000,8.3,8.28,Concrete continuous,Slab,,"Minor Arterial, Urban",299987
2886,WW,Columbia,Boone,'US 63,'RT WW E,'S 17 T 48 N R 12 W,1976,2000,8.1,9.11,Steel continuous,Stringer/Multi-beam or Girder,,"Minor Arterial, Urban",299998
2887,63,Columbia,Boone,'HOMINY CR,'US 63 N,'S 17 T 48 N R 12 W,1976,2000,5.6,9.76,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Principal Arterial - Other Freeways, Urban",300000
2888,,Columbia,Boone,'HOMINY CR,'RP US63N TO RTWW,'S 17 T 48 N R 12 W,1976,2000,7.7,7.38,Concrete continuous,Slab,Functionally Obsolete,"Principal Arterial - Other Freeways, Urban",300007
2889,,Columbia,Boone,'HOMINY CR,'RP RTWW TO US63S,'S 17 T 48 N R 12 W,1976,2000,5.5,7.71,Concrete continuous,Slab,Functionally Obsolete,"Principal Arterial - Other Freeways, Urban",300015
2890,63,Columbia,Boone,'MO 740,'US 63 N,'S 20 T 48 N R 12 W,1976,2000,6.4,9.16,Concrete continuous,Slab,,"Principal Arterial - Other Freeways, Urban",300025
2891,63,Columbia,Boone,'MO 740,'US 63 S,'S 20 T 48 N R 12 W,1976,2000,6.8,9.32,Concrete continuous,Slab,,"Principal Arterial - Other Freeways, Urban",300035
2892,63,Columbia,Boone,'GRINDSTONE CR,'US 63 N,'S 20 T 48 N R 12 W,1976,2000,7.7,9.39,Steel continuous,Stringer/Multi-beam or Girder,,"Principal Arterial - Other Freeways, Urban",300044
29000,63,Columbia,Boone,'GRINDSTONE CR,'US 63 S,'S 20 T 48 N R 12 W,2002,2000,7,9.78,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Principal Arterial - Other Freeways, Urban",300125
29218,,Columbia,Boone,'US 63,'VANDIVER DR E,'S 1 T 48 N R 13 W,2002,2000,9.7,9.45,Prestressed concrete*,Stringer/Multi-beam or Girder,Functionally Obsolete,"Minor Arterial, Urban",300332
29445,389,Cedar ,Boone,'CEDAR CR,'ZUMWALT RD,'S 6 T 45 N R 11 W,2002,2000,6.4,10,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Local, Rural",300576
29645,275,Rocky Fork ,Boone,'ROCKY FK,'MT ZION CHURCH RD,'S 36 T 50 N R 12 W,2001,2000,0.9,9.6,Steel,Culvert (includes frame culverts),Functionally Obsolete,"Local, Rural",300790
30140,70,Columbia,Boone,'HINKSON CR,'IS 70 W,'S 8 T 48 N R 12 W,2004,2000,6,9.15,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Principal Arterial - Interstate, Urban",301127
30593,,Columbia,Boone,'BEAR CR,'N GARTH AVE,'S 36 T 49 N R 13 W,2004,2000,4.1,9.74,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Collector, Urban",301449
30603,505,Missouri ,Boone,'SINKING CR,'OLD ROCHEPORT RD,'S 4 T 48 N R 14 W,2003,2000,0.6,10,"Aluminum, Wrought Iron, or Cast Iron",Culvert (includes frame culverts),,"Local, Rural",301460
30604,311,Columbia ,Boone,'CEDAR CR,'MAUPIN LANE,'S 22 T 49 N R 11 W,2004,2000,2.6,10,Steel,Stringer/Multi-beam or Girder,,"Local, Rural",301461
30605,470,Missouri ,Boone,'MILL CR,'BRUSHWOOD LAKE RD,'S 29 T 48 N R 13 W,2003,2000,0.9,9.97,Concrete,Slab,,"Local, Rural",301462
30606,504,Missouri ,Boone,'GOODIN BR,'MILLBROOK DR,'S 20 T 48 N R 13 W,2004,2000,0.9,10,Concrete continuous,Slab,,"Local, Rural",301463
30869,63,Columbia,Boone,'HOMINY CR,'US 63 S,'S 17 T 48 N R 12 W,2005,2000,6,9.66,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Principal Arterial - Other Freeways, Urban",301739
31063,,Missouri ,Boone,'COW BR,'BLACKFOOT RD,'S 34 T 49 N R 13 W,2000,2000,0.8,9.99,Concrete continuous,Slab,,"Local, Rural",301936
31064,,Missouri ,Boone,'UNKNOW CR,'HENDERSON RD,'S 1 T 48 N R 14 W,1923,2000,0.7,8.9,Concrete continuous,Culvert (includes frame culverts),,"Local, Rural",301937
31065,,Hallsville,Boone,'TRIB OF CEDAR CR,'TIMMONS RD,'S 35 T 50 N R 11 W,2004,2000,0.9,10,Prestressed concrete*,Slab,,"Local, Rural",301938
31162,312,Columbia ,Boone,'LIT CEDAR CR,'JUDY SCHOOL RD,'S 22 T 49 N R 11 W,2004,2000,1,10,Concrete,Slab,,"Local, Rural",302042
31461,,Columbia,Boone,'HINKSON CR,'BROADWAY ST,'S 18 T 48 N R 12 W,2005,2000,7.4,9.16,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Minor Arterial, Urban",302352
31917,93,Columbia,Boone,'UNKNOWN STREAM,'WOODLAND SPR CT,'S 9 T 48 N R 12 W,2006,2000,1,9.28,Steel,Culvert (includes frame culverts),,"Local, Rural",302833
31932,60,Perche ,Boone,'PRARIE CR,'PATTON RD,'S 15 T 50 N R 14 W,2005,2000,0.7,10,Concrete,Slab,,"Local, Rural",302849
31933,83,Perche ,Boone,'SLACKS BR,'WORSTELL LANE,'S 2 T 49 N R 13 W,2005,2000,1.1,9.49,Concrete,Slab,,"Local, Rural",302850
31935,370,Cedar ,Boone,'BRUSHY CR,'ELLIS SCHOOL RD,'S 6 T 46 N R 11 W,2005,2000,0.9,10,Concrete,Slab,,"Local, Rural",302852
31936,430,Cedar ,Boone,'SMALL CR,'CRUMP LANE,'S 3 T 46 N R 12 W,2005,2000,0.9,10,Concrete,Slab,,"Local, Rural",302853
31938,431,Cedar ,Boone,'SMALL CR,'MARTIN LANE,'S 3 T 46 N R 12 W,2005,2000,0.9,10,Concrete,Slab,,"Local, Rural",302855
31940,494,Cedar ,Boone,'TRIB LIT BONNE FEM,'HIGH POINT LANE,'S 29 T 51 N R 12 W,2005,2000,1.3,9.99,Concrete,Channel Beam,,"Local, Rural",302858
32089,,Columbia ,Boone,'US 63,'DISCOVERY PKWY S,'S 33 T 48 N R 12 W,2007,2000,6.1,9.56,Steel continuous,Stringer/Multi-beam or Girder,,"Principal Arterial - Other, Urban",303004
32291,,Missouri ,Boone,'COW BRANCH,'BROWN SCHOOL RD E,'S 25 T 49 N R 13 W,2008,2000,0.9,8.5,Concrete continuous,Culvert (includes frame culverts),,"Minor Arterial, Urban",303218
32292,763,Missouri ,Boone,'COW BRANCH,'MO 763 S,'S 25 T 49 N R 13 W,2008,2000,0.9,8.5,Concrete continuous,Culvert (includes frame culverts),,"Principal Arterial - Other, Urban",303219
32335,487,Missouri ,Boone,'PERCHE CR,'BURR OAK RD,'S 1 T 47 N R 14 W,2008,2000,8,8.77,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Local, Rural",303265
32428,,Columbia,Boone,'BEAR CR,'PROVIDENCE RD,'S 1 T 48 N R 13 W,2009,2000,12.6,8.12,Steel continuous,Stringer/Multi-beam or Girder,,"Minor Arterial, Urban",303368
32652,346,Columbia ,Boone,'TRIB TO GANS CR,'SUGAR GROVE RD,'S 26 T 48 N R 12 W,2008,2000,0.8,9.5,Steel,Culvert (includes frame culverts),,"Local, Rural",303604
32654,263,Rocky Fork ,Boone,'TRIB OF CEDAR CR,'MARSHALL RD,'S 35 T 50 N R 11 W,2008,2000,1.3,10,Concrete,Channel Beam,,"Local, Rural",303606
32732,,Columbia,Boone,'HINKSON CR,'OLD RTE K,'S 24 T 48 N R 13 W,2009,2000,6.2,9.15,Prestressed concrete*,Tee Beam,,"Collector, Urban",303691
32773,,Columbia,Boone,'HOMINY BR,'CLARK LN,'S 3 T 48 N R 12 W,2008,2000,1.7,9.96,Concrete,Culvert (includes frame culverts),,"Collector, Urban",303733
32774,,Cedar ,Boone,'GLASCOCK BR,'RIVER RD,'S 35 T 46 N R 13 W,2008,2000,2.2,9.44,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Local, Rural",303734
32986,,Rocky Fork ,Boone,'TRIB OF HINKSON CR,'SPIVA CROSSING RD,'S 2 T 49 N R 12 W,2009,2000,1.2,10,Concrete,Channel Beam,,"Local, Rural",303940
330,,Missouri ,Boone,'IS 70,'SORRELS OVERPASS,'S 5 T 48 N R 13 W,1958,2000,4.7,4.89,Steel continuous,Stringer/Multi-beam or Girder,Structurally Deficient,"Local, Urban",303955
33100,70,Columbia,Boone,'UNNAMED CREEK,'OR 70 E,'S 3 T 48 N R 13 W,2010,2000,1.3,9.99,Concrete continuous,Culvert (includes frame culverts),,"Local, Urban",304063
3312,,Columbia ,Boone,'US 63,'OAKLAND GRAVEL RD,'S 29 T 49 N R 12 W,1986,2000,9.2,9.8,Steel continuous,Stringer/Multi-beam or Girder,,"Minor Arterial, Urban",304084
3313,,Columbia ,Boone,'US 63,'PRATHERSVILLE RD,'S 19 T 49 N R 12 W,1986,2000,9.5,9.77,Steel continuous,Stringer/Multi-beam or Girder,,"Minor Arterial, Urban",304095
3314,,Columbia ,Boone,'US 63,'WAGON TRAIL RD S,'S 18 T 49 N R 12 W,1985,2000,9.3,9.88,Steel continuous,Stringer/Multi-beam or Girder,,"Local, Rural",304106
3315,63,Columbia ,Boone,'MO 763,'US 63 S,'S 13 T 49 N R 13 W,1985,2000,8.6,9.95,Steel continuous,Stringer/Multi-beam or Girder,,"Principal Arterial - Other Freeways, Urban",304117
3316,63,Columbia ,Boone,'MO 763,'US 63 N,'S 13 T 49 N R 13 W,1992,2000,10,9.95,Steel continuous,Stringer/Multi-beam or Girder,,"Principal Arterial - Other Freeways, Urban",304124
3317,63,Columbia ,Boone,'BEAR CR,'US 63 S,'S 29 T 49 N R 12 W,1986,2000,1,8.36,Concrete continuous,Culvert (includes frame culverts),,"Principal Arterial - Other Freeways, Urban",304133
33176,70,Columbia ,Boone,'CEDAR CR,'OR 70 E,'S 10 T 48 N R 11 W,2010,2000,7,8.89,Prestressed concrete*,Box Beam or Girders - Single or Spread,,"Local, Rural",304140
33219,163,Cedar ,Boone,'TURKEY CR,'MO 163 S,'S 14 T 47 N R 12 W,2010,2000,3.1,10,Prestressed concrete*,Box Beam or Girders - Multiple,,"Major Collector, Rural",304188
33256,70,Columbia ,Boone,'GRINDSTONE CREEK,'OR 70 E,'S 11 T 48 N R 12 W,2010,2000,2.5,8.06,Prestressed concrete*,Box Beam or Girders - Single or Spread,,"Local, Urban",304228
33359,70,Columbia,Boone,'UNNAMED CR,'OR 70 E,'S 9 T 48 N R 13 W,2011,2000,2.4,8.28,Prestressed concrete*,Box Beam or Girders - Single or Spread,,"Local, Urban",304339
33365,WW,Columbia ,Boone,'N FK CR,'RT WW E,'S 16 T 48 N R 12 W,2011,2000,3.7,8.39,Prestressed concrete*,Box Beam or Girders - Single or Spread,,"Minor Arterial, Urban",304346
33462,70,Columbia ,Boone,'LIT CEDAR CR,'OR 70 E,'S 8 T 48 N R 11 W,2011,2000,4.3,8.89,Prestressed concrete*,Box Beam or Girders - Multiple,,"Local, Rural",304452
3354,63,Columbia,Boone,'CST BROWN STATION RD,'US 63 N,'S 29 T 49 N R 12 W,1986,2000,5.7,9.84,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Principal Arterial - Other Freeways, Urban",304535
33540,93,Columbia,Boone,'HINKSON CR,'MEXICO GRAVEL RD,'S 33 T 49 N R 12 W,2009,2000,9.7,9.94,Steel continuous,Stringer/Multi-beam or Girder,,"Collector, Urban",304536
33541,132,Columbia ,Boone,'UNNAMED CREEK,'FAIRGROUND ENTRAN,'S 29 T 49 N R 12 W,2000,2000,1.5,8.6,Steel,Stringer/Multi-beam or Girder,,"Local, Rural",304537
3355,63,Columbia,Boone,'CST BROWN STATION RD,'US 63 S,'S 29 T 49 N R 12 W,1986,2000,6.3,9.84,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Principal Arterial - Other Freeways, Urban",304546
3356,63,Columbia,Boone,'RT B,'US 63 N,'S 32 T 49 N R 12 W,1986,2000,7,9.82,Steel continuous,Stringer/Multi-beam or Girder,,"Principal Arterial - Other Freeways, Urban",304557
3357,63,Columbia,Boone,'RT B,'US 63 S,'S 32 T 49 N R 12 W,1986,2000,6.8,9.84,Steel continuous,Stringer/Multi-beam or Girder,,"Principal Arterial - Other Freeways, Urban",304568
3358,,Columbia,Boone,'US 63,'MEXICO GRAVEL RD,'S 33 T 49 N R 12 W,1984,2000,8.5,9.02,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Collector, Urban",304579
3359,,Columbia,Boone,'US 63,'US 63C S,'S 5 T 48 N R 12 W,1986,2000,12.4,9.27,Steel continuous,Stringer/Multi-beam or Girder,Functionally Obsolete,"Principal Arterial - Other, Urban",304590
3360,,Columbia,Boone,'HINKSON CR,'US 63C S,'S 5 T 48 N R 12 W,1984,2000,6.7,9.16,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Principal Arterial - Other, Urban",304601
3361,63,Columbia,Boone,'IS 70  RP US63C TO IS70,'US 63 N,'S 8 T 48 N R 12 W,1992,2000,30.1,8.9,Prestressed concrete*,Stringer/Multi-beam or Girder,Functionally Obsolete,"Principal Arterial - Other Freeways, Urban",304612
3362,63,Columbia,Boone,'IS 70  RP US63C TO IS70,'US 63 S,'S 8 T 48 N R 12 W,1992,2000,28.2,9.22,Prestressed concrete*,Stringer/Multi-beam or Girder,Functionally Obsolete,"Principal Arterial - Other Freeways, Urban",304623
3363,63,Columbia,Boone,'US 63C  CST CONLEY RD,'US 63 N,'S 8 T 48 N R 12 W,1993,2000,8.3,9.54,Prestressed concrete*,Stringer/Multi-beam or Girder,Functionally Obsolete,"Principal Arterial - Other Freeways, Urban",304634
3364,63,Columbia,Boone,'US 63C  CST CONLEY RD,'US 63 S,'S 8 T 48 N R 12 W,1993,2000,7.8,9.53,Prestressed concrete*,Stringer/Multi-beam or Girder,Functionally Obsolete,"Principal Arterial - Other Freeways, Urban",304645
33708,163,Cedar ,Boone,'US 63,'MO 163 S,'S 23 T 47 N R 12 W,2011,2000,5.7,9.11,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Minor Arterial, Rural",304721
33709,63,Cedar ,Boone,'TURKEY CR,'US 63 S,'S 14 T 47 N R 12 W,2011,2000,4.2,9.87,Prestressed concrete*,Tee Beam,,"Principal Arterial - Other, Rural",304722
33734,,Columbia,Boone,'S FK OF GRINDSTONE,'MAGUIRE BLVD,'S 20 T 48 N R 12 W,2009,2000,8.2,9.83,Prestressed concrete*,Tee Beam,,"Local, Rural",304750
33735,,Columbia,Boone,'N FK OF GRINDSTONE,'MAGUIRE BLVD,'S 20 T 48 N R 12 W,2009,2000,8,9.93,Steel,Stringer/Multi-beam or Girder,,"Local, Rural",304751
338,740,Columbia,Boone,'FLAT CR,'MO 740 E,'S 14 T 48 N R 13 W,1963,1989,2,7,Concrete continuous,Culvert (includes frame culverts),,"Principal Arterial - Other, Urban",304819
34363,Z,Columbia ,Boone,'IS 70,'RT Z S,'S 7 T 48 N R 11 W,2013,2000,6.9,8.92,Prestressed concrete*,Box Beam or Girders - Single or Spread,,"Major Collector, Rural",305425
34415,,Columbia,Boone,'GOODIN BR,'CHAPEL HILL RD,'S 20 T 48 N R 13 W,2012,2000,9.9,9.98,Concrete continuous,Slab,,"Minor Arterial, Urban",305478
34416,,Columbia,Boone,'N FK OF GRINDSTONE,'ROLLING HILLS RD,'S 15 T 48 N R 12 W,2012,2000,9.9,9.6,Prestressed concrete*,Tee Beam,,"Local, Rural",305479
34418,253,Rocky Fork ,Boone,'TRIB TO SILVER FK,'OWEN'S SCHOOL RD,'S 16 T 50 N R 11 W,2012,2000,0.7,10,Steel,Culvert (includes frame culverts),,"Local, Rural",305481
34420,429,Cedar ,Boone,'SMALL CR,'CLELLIE HARMON RD,'S 10 T 46 N R 12 W,2012,2000,0.7,9.7,Steel,Culvert (includes frame culverts),,"Local, Rural",305484
34421,497,Missouri ,Boone,'BR LIT BONNE FENNE,'WOODIE PROCTOR RD,'S 22 T 47 N R 13 W,2012,2000,0.8,9.7,Steel,Culvert (includes frame culverts),,"Local, Rural",305485
34422,462,Cedar ,Boone,'LIT BONNE FEMME CR,'HIGH POINT LN,'S 10 T 47 N R 13 W,2013,2000,3.1,10,Steel,Stringer/Multi-beam or Girder,,"Local, Rural",305486
34694,331,Columbia ,Boone,'N FK GRINDSTONE CR,'RUSTIC RD,'S 17 T 48 N R 12 W,2014,2000,1.6,7.6,Steel,Box Beam or Girders - Multiple,,"Local, Rural",305783
34762,B,Columbia,Boone,'LP 70,'RT B S,'S 6 T 48 N R 12 W,2014,2000,2,6.22,Prestressed concrete*,Box Beam or Girders - Multiple,,"Minor Arterial, Urban",305848
34784,329,Columbia,Boone,'HINKSON CR,'SCOTT BLVD,'S 28 T 48 N R 13 W,2014,2000,11,9.77,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Minor Collector, Rural",305871
3486,70,Columbia,Boone,'HOMINY CR,'IS 70 E,'S 9 T 48 N R 12 W,1983,2000,0.9,6.9,Concrete continuous,Culvert (includes frame culverts),,"Principal Arterial - Interstate, Urban",305953
3487,70,Columbia ,Boone,'LIT CEDAR CR,'IS 70 E,'S 8 T 48 N R 11 W,1983,2000,0.8,9.12,Concrete continuous,Culvert (includes frame culverts),,"Principal Arterial - Interstate, Rural",305963
3492,,Columbia,Boone,'HINKSON CR,'CLARK LN E,'S 8 T 48 N R 12 W,1992,2000,7.5,9.41,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Local, Urban",306017
36,740,Missouri ,Boone,'IS 70,'MO 740 E,'S 10 T 48 N R 13 W,1958,1979,6,8.4,Steel continuous,Stringer/Multi-beam or Girder,,"Principal Arterial - Other, Urban",306139
3629,70,Missouri ,Boone,'RT J,'IS 70 E,'S 9 T 48 N R 14 W,1985,2000,3.7,9.62,Prestressed concrete*,Tee Beam,,"Principal Arterial - Interstate, Rural",306172
3634,70,Missouri ,Boone,'RT J,'IS 70 W,'S 9 T 48 N R 14 W,1985,2000,3.7,9.62,Prestressed concrete*,Tee Beam,,"Principal Arterial - Interstate, Rural",306178
3720,VV,Perche ,Boone,'ROCKY FK CR,'RT VV S,'S 13 T 49 N R 13 W,1990,2000,8.1,9.07,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Collector, Urban",306273
3774,WW,Columbia,Boone,'CEDAR CR,'RT WW E,'S 28 T 48 N R 11 W,1989,2000,6,8.76,Prestressed concrete*,Tee Beam,,"Minor Arterial, Rural",306331
389,E,Missouri ,Boone,'PERCHE CR,'RT E S,'S 28 T 49 N R 13 W,1959,2000,6.5,4.22,Steel continuous,Stringer/Multi-beam or Girder,Structurally Deficient,"Major Collector, Rural",306456
390,E,Missouri ,Boone,'ROCKY FK CR,'RT E S,'S 28 T 49 N R 13 W,1959,2000,5,4.02,Steel continuous,Stringer/Multi-beam or Girder,Structurally Deficient,"Major Collector, Rural",306468
3917,163,Columbia,Boone,'HINKSON CR,'MO 163 S,'S 24 T 48 N R 13 W,1989,2000,8.3,9.43,Steel,Stringer/Multi-beam or Girder,,"Principal Arterial - Other Freeways, Urban",306487
4031,WW,Columbia ,Boone,'S FK GRINDSTONE CR,'RT WW E,'S 22 T 48 N R 12 W,1993,2000,0.8,6.7,Concrete continuous,Culvert (includes frame culverts),Functionally Obsolete,"Minor Arterial, Urban",306609
4032,WW,Columbia ,Boone,'LIT CEDAR CR,'RT WW E,'S 29 T 48 N R 11 W,1993,2000,1.5,9.23,Concrete continuous,Culvert (includes frame culverts),,"Minor Arterial, Rural",306610
4070,63,Perche ,Boone,'ROCKY FK CR,'US 63 N,'S 13 T 49 N R 13 W,1992,2000,7.5,9.96,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Principal Arterial - Other Freeways, Urban",306650
4114,63,Rocheport,Boone,'SILVER FK CR,'US 63 N,'S 13 T 50 N R 13 W,1994,2000,7.5,9.94,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Principal Arterial - Other, Rural",306695
4212,TT,Columbia,Boone,'BR OF PERCHE CR,'RT TT E,'S 16 T 48 N R 13 W,1994,2000,0.7,8,Concrete continuous,Culvert (includes frame culverts),,"Minor Arterial, Urban",306800
4292,124,Centralia ,Boone,'KCS RR,'MO 124 E,'S 9 T 51 N R 11 W,1994,2000,6.3,9.88,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Minor Arterial, Rural",306881
4293,124,Centralia ,Boone,'CT RR,'MO 124 E,'S 9 T 51 N R 11 W,1994,2000,6.6,9.88,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Minor Arterial, Rural",306882
4304,763,Columbia,Boone,'BEAR CR,'MO 763 S,'S 1 T 48 N R 13 W,1994,2000,4.9,8.5,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Principal Arterial - Other, Urban",306894
4415,63,Perche ,Boone,'SILVER FK CR,'US 63 S,'S 13 T 50 N R 13 W,1997,2000,7.5,8.85,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Principal Arterial - Other, Rural",307006
4669,70,Columbia,Boone,'PERCHE CR,'IS 70 W,'S 8 T 48 N R 13 W,1940,1978,21.3,9.69,Steel,Stringer/Multi-beam or Girder,,"Principal Arterial - Interstate, Urban",307209
4688,40,Missouri ,Boone,'MC GILL BR,'US 40 E,'S 1 T 48 N R 15 W,1924,1947,0.8,9.59,Concrete continuous,Culvert (includes frame culverts),,"Minor Arterial, Rural",307224
4736,63,Columbia ,Boone,'GANS CR,'OR 63 S,'S 33 T 48 N R 12 W,1925,2000,2.7,6.19,Concrete,Tee Beam,Functionally Obsolete,"Local, Urban",307267
4737,63,Cedar ,Boone,'BONNE FEMME CR,'OR 63 S,'S 3 T 47 N R 12 W,1925,2000,2.7,5.17,Concrete,Tee Beam,Functionally Obsolete,"Local, Rural",307268
4739,63,Cedar ,Boone,'BASS CR,'OR 63 S,'S 26 T 47 N R 12 W,1925,2000,2.4,5.99,Concrete,Slab,Functionally Obsolete,"Local, Rural",307269
479,63,Perche ,Boone,'ROCKY FK CR,'US 63 S,'S 13 T 49 N R 13 W,1963,1992,7.5,9.35,Steel continuous,Stringer/Multi-beam or Girder,,"Principal Arterial - Other Freeways, Urban",307315
4895,70,Columbia,Boone,'HOMINY CR,'OR 70 E,'S 9 T 48 N R 12 W,1925,2000,2.4,4.69,Concrete,Slab,Functionally Obsolete,"Local, Urban",307398
4906,70,Missouri ,Boone,'PERCHE CR,'OR 70 E,'S 7 T 48 N R 13 W,1924,2000,6.1,4.26,Concrete,Slab,Functionally Obsolete,"Local, Urban",307403
4911,70,Columbia,Boone,'CR,'OR 70 E,'S 3 T 48 N R 13 W,1925,2000,0.8,7.31,Concrete continuous,Culvert (includes frame culverts),,"Local, Urban",307408
574,,Columbia,Boone,'IS 70,'US 63C S,'S 8 T 48 N R 12 W,1961,1983,6.6,7.57,Steel continuous,Stringer/Multi-beam or Girder,,"Principal Arterial - Other, Urban",308061
6118,124,Perche ,Boone,'PERCHE CR,'MO 124 E,'S 17 T 50 N R 13 W,1953,2009,6.8,6.24,Steel continuous,Stringer/Multi-beam or Girder,,"Major Collector, Rural",308331
6162,70,Columbia,Boone,'HINKSON CR,'IS 70 E,'S 8 T 48 N R 13 W,1949,1976,6.8,9.42,Prestressed concrete*,Stringer/Multi-beam or Girder,,"Principal Arterial - Interstate, Urban",308371
6178,70,Columbia,Boone,'MO 763,'IS 70 E,'S 1 T 48 N R 13 W,1957,2000,5,6.47,Concrete continuous,Slab,Functionally Obsolete,"Principal Arterial - Interstate, Urban",308388
6180,B,Columbia,Boone,'IS 70,'RT B S,'S 6 T 48 N R 12 W,1957,1999,5,8.69,Concrete continuous,Slab,,"Minor Arterial, Urban",308390
6210,70,Columbia ,Boone,'GRINDSTONE CR,'IS 70 E,'S 11 T 48 N R 12 W,1949,1978,1.2,8.05,Concrete continuous,Culvert (includes frame culverts),,"Principal Arterial - Interstate, Urban",308418
6211,70,Columbia ,Boone,'CEDAR CR,'IS 70 E,'S 10 T 48 N R 11 W,1949,1983,8.4,9.61,Prestressed concrete*,Tee Beam,,"Principal Arterial - Interstate, Rural",308419
6364,22,Centralia ,Boone,'LONG BR,'MO 22 E,'S 1 T 51 N R 12 W,1956,2000,1.1,9.66,Concrete continuous,Culvert (includes frame culverts),,"Minor Arterial, Rural",308556
64,70,Missouri ,Boone,'SUGAR BR,'IS 70 E,'S 10 T 48 N R 14 W,1958,2000,0.9,8.1,Concrete continuous,Culvert (includes frame culverts),,"Principal Arterial - Interstate, Rural",308589
65,163,Missouri ,Boone,'IS 70,'MO 163 S,'S 1 T 48 N R 13 W,1957,1983,5.2,8.99,Concrete continuous,Slab,,"Principal Arterial - Other, Urban",308671
6549,70,Columbia,Boone,'CST GARTH AVE,'IS 70 E,'S 1 T 48 N R 13 W,1957,2000,3.4,7.26,Concrete continuous,Slab,Functionally Obsolete,"Principal Arterial - Interstate, Urban",308698
